============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=800000.E+00 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000409   4.5911E+05  2.4681E+04 -2.3479E+04
0000410   4.8443E+05 -7.5935E+04 -9.5961E+03
0000411   4.8980E+05 -7.5646E+03 -1.3527E+04
0000412   4.7939E+05  1.9556E+04  1.0949E+04
0000413   4.9354E+05 -1.5876E+04  1.0002E+04
0000414   4.8216E+05 -6.4055E+03  1.3926E+04
0000415   4.5517E+05 -8.0016E+04 -1.8000E+04
0000416   4.8692E+05 -4.1111E+04  9.7994E+03
0000417   4.9673E+05 -1.2425E+04 -1.8678E+04
0000418   4.8034E+05  2.2447E+04 -3.3273E+04
0000419   4.8055E+05 -1.8479E+04 -1.7916E+04
0000420   4.6946E+05  6.4548E+03  1.9273E+03
0000421   4.8351E+05  9.9202E+03 -2.9350E+04
0000422   4.8391E+05  2.5250E+04 -1.5191E+04
0000423   4.9413E+05 -6.2497E+03 -1.0230E+04
0000424   4.8109E+05  1.1200E+04  2.9464E+04
0000425   4.8755E+05  1.4183E+04 -1.0201E+04
0000426   4.8043E+05  5.6970E+04 -3.7324E+03
0000427   4.7028E+05  7.8518E+03 -1.8040E+04
0000428   4.7590E+05 -2.9880E+03  3.1059E+03
0000429   4.9161E+05 -2.1897E+04  1.0705E+04
