bin_m,mean_Se_eV_per_A,dE_keV_total,npts
2212.5000,3.133947e-05,1.578310e+06,8950
2217.5000,3.139329e-05,1.570030e+06,8970
2222.5000,3.144893e-05,1.573790e+06,8986
2227.5000,3.150331e-05,1.580950e+06,9022
2232.5000,3.155961e-05,1.577520e+06,9039
2237.5000,3.161560e-05,1.575330e+06,9076
2242.5000,3.167250e-05,1.595910e+06,9136
2247.5000,3.173063e-05,1.599750e+06,9153
2252.5000,3.178783e-05,1.592620e+06,9181
2257.5000,3.184768e-05,1.595120e+06,9233
2262.5000,3.190577e-05,1.585370e+06,9234
2267.5000,3.196569e-05,1.613510e+06,9313
2272.5000,3.202569e-05,1.586370e+06,9326
2277.5000,3.208606e-05,1.601080e+06,9362
2282.5000,3.214812e-05,1.615820e+06,9423
2287.5000,3.221037e-05,1.600360e+06,9418
2292.5000,3.227196e-05,1.606160e+06,9463
2297.5000,3.233638e-05,1.626760e+06,9517
2302.5000,3.240017e-05,1.603690e+06,9531
2307.5000,3.246448e-05,1.617340e+06,9617
2312.5000,3.252977e-05,1.618730e+06,9611
2317.5000,3.259562e-05,1.623710e+06,9683
2322.5000,3.266223e-05,1.622680e+06,9686
2327.5000,3.272939e-05,1.651410e+06,9746
2332.5000,3.279775e-05,1.635520e+06,9780
2337.5000,3.286758e-05,1.633700e+06,9804
2342.5000,3.293647e-05,1.672050e+06,9873
2347.5000,3.300796e-05,1.633200e+06,9916
2352.5000,3.307945e-05,1.661390e+06,9936
2357.5000,3.315229e-05,1.670350e+06,9991
2362.5000,3.322320e-05,1.648210e+06,10014
2367.5000,3.330022e-05,1.673050e+06,10091
2372.5000,3.337156e-05,1.663000e+06,10109
2377.5000,3.345027e-05,1.687290e+06,10167
2382.5000,3.352596e-05,1.680780e+06,10206
2387.5000,3.360291e-05,1.673670e+06,10239
2392.5000,3.368216e-05,1.697350e+06,10307
2397.5000,3.376109e-05,1.681000e+06,10346
2402.5000,3.384168e-05,1.678500e+06,10384
2407.5000,3.392099e-05,1.698120e+06,10432
2412.5000,3.400403e-05,1.701720e+06,10493
2417.5000,3.408610e-05,1.709470e+06,10524
2422.5000,3.417171e-05,1.721410e+06,10575
2427.5000,3.425722e-05,1.722820e+06,10647
2432.5000,3.434416e-05,1.713470e+06,10679
2437.5000,3.443023e-05,1.714850e+06,10725
2442.5000,3.451915e-05,1.726360e+06,10779
2447.5000,3.460858e-05,1.741630e+06,10851
2452.5000,3.470012e-05,1.739950e+06,10867
2457.5000,3.479129e-05,1.741370e+06,10960
2462.5000,3.488511e-05,1.724520e+06,10985
2467.5000,3.497958e-05,1.739820e+06,11038
2472.5000,3.507300e-05,1.744600e+06,11104
2477.5000,3.517108e-05,1.756380e+06,11153
2482.5000,3.526791e-05,1.760780e+06,11213
2487.5000,3.536856e-05,1.770930e+06,11295
2492.5000,3.546838e-05,1.777720e+06,11338
2497.5000,3.557145e-05,1.765480e+06,11397
2502.5000,3.567405e-05,1.780010e+06,11435
2507.5000,3.578045e-05,1.798470e+06,11512
2512.5000,3.588686e-05,1.798650e+06,11571
2517.5000,3.599670e-05,1.820170e+06,11621
2522.5000,3.610689e-05,1.804520e+06,11706
2527.5000,3.621660e-05,1.804620e+06,11756
2532.5000,3.632986e-05,1.821470e+06,11833
2537.5000,3.644684e-05,1.828690e+06,11896
2542.5000,3.656163e-05,1.809380e+06,11954
2547.5000,3.667891e-05,1.825290e+06,12030
2552.5000,3.680194e-05,1.835700e+06,12104
2557.5000,3.691916e-05,1.846220e+06,12170
2562.5000,3.704586e-05,1.856490e+06,12243
2567.5000,3.717262e-05,1.853450e+06,12296
2572.5000,3.729725e-05,1.857180e+06,12388
2577.5000,3.743039e-05,1.887430e+06,12453
2582.5000,3.756242e-05,1.876400e+06,12536
2587.5000,3.769723e-05,1.880690e+06,12603
2592.5000,3.783226e-05,1.888520e+06,12678
2597.5000,3.796967e-05,1.905140e+06,12786
2602.5000,3.811461e-05,1.911550e+06,12848
2607.5000,3.825527e-05,1.913300e+06,12944
2612.5000,3.840702e-05,1.930760e+06,12997
2617.5000,3.855145e-05,1.936110e+06,13100
2622.5000,3.870487e-05,1.934380e+06,13190
2627.5000,3.886200e-05,1.945400e+06,13256
2632.5000,3.901696e-05,1.963490e+06,13388
2637.5000,3.917766e-05,1.941820e+06,13437
2642.5000,3.934061e-05,1.980790e+06,13556
2647.5000,3.950708e-05,1.970870e+06,13652
2652.5000,3.967594e-05,1.979780e+06,13732
2657.5000,3.984936e-05,1.981530e+06,13835
2662.5000,4.002276e-05,2.010420e+06,13943
2667.5000,4.020642e-05,2.009220e+06,14028
2672.5000,4.038451e-05,2.015640e+06,14168
2677.5000,4.057483e-05,2.018300e+06,14244
2682.5000,4.076425e-05,2.054800e+06,14360
2687.5000,4.095926e-05,2.058140e+06,14465
2692.5000,4.116063e-05,2.055230e+06,14574
2697.5000,4.136356e-05,2.071740e+06,14698
2702.5000,4.157212e-05,2.093310e+06,14819
2707.5000,4.178551e-05,2.094190e+06,14926
2712.5000,4.200410e-05,2.103430e+06,15066
2717.5000,4.222676e-05,2.131250e+06,15187
2722.5000,4.245665e-05,2.130180e+06,15310
2727.5000,4.268939e-05,2.111740e+06,15450
2732.5000,4.292478e-05,2.134570e+06,15594
2737.5000,4.317125e-05,2.160370e+06,15718
2742.5000,4.341822e-05,2.170080e+06,15852
2747.5000,4.367764e-05,2.188310e+06,16006
2752.5000,4.394214e-05,2.208090e+06,16142
2757.5000,4.421306e-05,2.216760e+06,16324
2762.5000,4.449005e-05,2.210320e+06,16439
2767.5000,4.477635e-05,2.213790e+06,16636
2772.5000,4.506870e-05,2.255340e+06,16792
2777.5000,4.537001e-05,2.254320e+06,16966
2782.5000,4.567815e-05,2.269920e+06,17115
2787.5000,4.599806e-05,2.297300e+06,17316
2792.5000,4.632535e-05,2.315430e+06,17485
